mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.1493562857309977,0.010633898240145968,0.010522683461507162,0.0023118997527383413,5,,0.5,4,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 4, 'n_estimators': 25}",0.5350372836273927,0.40506526272980226,0.5358893552602519,0.491997300539149,0.06147121768102068,766
0.25920748710632324,0.013911929216210105,0.013265450795491537,0.00282354844448942,5,,0.5,4,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 4, 'n_estimators': 50}",0.584204810032811,0.41275536780176036,0.5813101789742144,0.526090118936262,0.08014848338461518,657
0.7217117150624593,0.059292790186410704,0.024791717529296875,0.0035568782438386054,5,,0.5,4,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 4, 'n_estimators': 100}",0.5749666882570571,0.4471654815823978,0.5798776498322558,0.5340032732239036,0.0614363135220989,572
1.6426949501037598,0.06152885502020638,0.0369722843170166,0.0037350956441451117,5,,0.5,4,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 4, 'n_estimators': 200}",0.5866098035855751,0.4235223300606854,0.5936523831844392,0.5345948389435665,0.07859273144511043,567
0.26781590779622394,0.055402481509272294,0.014185587565104166,0.002109356548440514,5,,0.5,6,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 6, 'n_estimators': 25}",0.5616084315206649,0.43535691959267764,0.5909327419674029,0.5292993643602485,0.06749748633579,633
0.3055420716603597,0.02752183084380442,0.014622688293457031,0.003688245665163625,5,,0.5,6,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 6, 'n_estimators': 50}",0.5845001899814117,0.42742996791480126,0.6202362889825144,0.5440554822929091,0.08374723934125763,436
0.596777598063151,0.031977256372086475,0.02344353993733724,0.002432470125419289,5,,0.5,6,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 6, 'n_estimators': 100}",0.5830816732849127,0.44751740661500694,0.5870495370296468,0.5392162056431888,0.06486107354997223,501
1.4485135078430176,0.06487062716696804,0.04442143440246582,0.008708143748324468,5,,0.5,6,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 6, 'n_estimators': 200}",0.5818684202916475,0.4433759274908122,0.5929182833643956,0.5393875437156185,0.06804017296693782,497
0.18225558598836264,0.016486126266050616,0.013399521509806315,0.0025163621243719007,5,,0.5,10,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 25}",0.5918846675911194,0.41084637281368075,0.5918964395654112,0.5315424933234038,0.08534504541064673,603
0.34033648173014325,0.026000744405870885,0.01616183916727702,0.0011211214882174473,5,,0.5,10,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 50}",0.5779679526241532,0.412451400835389,0.5945896905326833,0.5283363479974085,0.08222352168259804,642
0.6231473286946615,0.021944136443005476,0.025714000066121418,0.0027869804983620032,5,,0.5,10,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 100}",0.5862968202874381,0.4286463923682682,0.5947056972630036,0.53654963663957,0.07637630477315031,542
1.1647746562957764,0.008623811504145908,0.03254143397013346,0.005147658765437086,5,,0.5,10,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 200}",0.5797822537521429,0.43792822253388963,0.5999862332328978,0.5392322365063101,0.07210606831563236,500
0.1813941796620687,0.022630330336138045,0.009408315022786459,0.002471756800190108,5,,0.75,2,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 25}",0.5757633353293578,0.43430440082552946,0.591173597332417,0.5337471111624347,0.0705974906216596,574
0.37714894612630206,0.035978936177927405,0.009775082270304361,0.0005991142901073996,5,,0.75,2,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 50}",0.5564993866908915,0.4381763076338052,0.5858779397201288,0.5268512113482752,0.06383940139705162,651
0.6544562180836996,0.033710182891217265,0.013712485631306967,0.003098897912778155,5,,0.75,2,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 100}",0.5840064204791044,0.4188136722244903,0.5976135772370699,0.5334778899802216,0.08126992393216273,577
1.1535707314809163,0.020994774318951772,0.022784630457560223,0.0007179897120536574,5,,0.75,2,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 200}",0.5830127443011313,0.4223381038348558,0.5971321348455443,0.5341609943271771,0.07928055005644902,570
0.1365819772084554,0.002297986417278426,0.007769187291463216,0.001445413185831776,5,,0.75,4,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 4, 'n_estimators': 25}",0.5689368649235321,0.44887042807765476,0.6301922306025148,0.5493331745345672,0.07531103294722,382
0.3070567448933919,0.019871876753959485,0.010770241419474283,0.001645229275193387,5,,0.75,4,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 4, 'n_estimators': 50}",0.5528544492181677,0.3886398715767432,0.5872746618871872,0.5095896608940328,0.08667112711073463,742
0.5263284047444662,0.017579994865129907,0.018727938334147137,0.0033800213524542363,5,,0.75,4,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 4, 'n_estimators': 100}",0.5671472398853065,0.41917850769941223,0.6124003786541778,0.5329087087462988,0.08251416288424923,585
1.2548866271972656,0.09134276004578236,0.02972094217936198,0.00677204019136313,5,,0.75,4,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 4, 'n_estimators': 200}",0.5946711646138003,0.4286178280289068,0.5935740556187081,0.5389543494204717,0.07802098810204952,505
0.1547680695851644,0.01022443606297592,0.010560909907023111,0.0019037202291028422,5,,0.75,6,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 6, 'n_estimators': 25}",0.5582507947742668,0.42214877812710305,0.6352541492485304,0.5385512407166334,0.08810799858791685,514
0.3452002207438151,0.03270202847020968,0.016825199127197266,0.0009189280747603041,5,,0.75,6,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 6, 'n_estimators': 50}",0.5927278716929094,0.41866609568891533,0.6088333524077827,0.5400757732632026,0.08610102199851662,485
0.790662924448649,0.045191604912960884,0.025708913803100586,0.004091279045375127,5,,0.75,6,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 6, 'n_estimators': 100}",0.5865953954761561,0.423848605384334,0.59159777814406,0.53401392633485,0.07792541054618275,571
1.501522143681844,0.05644137946843285,0.02321616808573405,0.00851577584393236,5,,0.75,6,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 6, 'n_estimators': 200}",0.595402123756511,0.43749475891850587,0.6110524922457072,0.5479831249735747,0.07838789355336734,392
0.18695998191833496,0.005793921348226822,0.008517583211263021,0.0017684486171498362,5,,0.75,10,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 25}",0.5722983880975208,0.39959295942755857,0.6034300045123304,0.5251071173458032,0.08965730036680136,667
0.36053864161173504,0.008885299646696423,0.011689583460489908,0.005247741291319938,5,,0.75,10,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 50}",0.5697444846280983,0.4395008405324964,0.5799973342210017,0.5297475531271988,0.06395119014689662,626
0.6697699228922526,0.012884371504969582,0.020357290903727215,0.0012294109971003754,5,,0.75,10,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 100}",0.5768307011042674,0.4492191500277285,0.6026143761186892,0.5428880757502283,0.06706514349902751,451
1.415047566095988,0.06181392736896434,0.03368894259134928,0.013639424951545444,5,,0.75,10,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 200}",0.5771013970347012,0.4373158730187878,0.5888248613797574,0.5344140438110822,0.06882538767281358,568
0.21813384691874185,0.040494829727490314,0.011759519577026367,0.0021675928759544343,5,,,2,25,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 2, 'n_estimators': 25}",0.5855196818310396,0.43531117012920095,0.5953931635364054,0.5387413384988821,0.07324716698495114,509
0.39772828420003253,0.040396956205390785,0.010243733723958334,0.001916123217460547,5,,,2,50,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 2, 'n_estimators': 50}",0.55044849412754,0.4110614386000042,0.5875377088894649,0.5163492138723363,0.07597385155109568,726
0.7593644460042318,0.008448513097108779,0.024925947189331055,0.0031684700436529155,5,,,2,100,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 2, 'n_estimators': 100}",0.5870016202386308,0.4180437606658688,0.5946690136606607,0.5332381315217201,0.08151484338502855,580
1.64568297068278,0.038583480133068775,0.035911877950032554,0.004248429184863382,5,,,2,200,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 2, 'n_estimators': 200}",0.5837955758797537,0.4365456694327563,0.6026143564834465,0.5409852005986522,0.07424844949432316,472
0.20807321866353354,0.011168696357766588,0.008348464965820312,0.0005011475732048554,5,,,4,25,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 4, 'n_estimators': 25}",0.584155941655265,0.4176017590902211,0.5612124723423199,0.5209900576959353,0.07370416502236833,703
0.41579683621724445,0.020896823071098785,0.01270906130472819,0.0038689071035650294,5,,,4,50,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 4, 'n_estimators': 50}",0.5947920960459057,0.4169235007982186,0.6021627956872596,0.537959464177128,0.08563823183055676,524
0.771204392115275,0.027429501315204604,0.017928282419840496,0.0027099082731671512,5,,,4,100,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 4, 'n_estimators': 100}",0.6027876386214428,0.43951820767566396,0.6164259938439018,0.5529106133803362,0.0803736251802096,347
1.7051547368367512,0.10984296248361201,0.03986517588297526,0.008972223101046764,5,,,4,200,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 4, 'n_estimators': 200}",0.591570330663763,0.42116519182053846,0.6054049646511879,0.5393801623784964,0.08378119805941209,498
0.21676850318908691,0.011984809303882862,0.013002316157023111,0.0022828091302725816,5,,,6,25,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 6, 'n_estimators': 25}",0.5677647121565794,0.448238863113935,0.653198144680385,0.5564005733169665,0.08405924305208133,314
0.5357503890991211,0.08532706266673369,0.017833391825358074,0.0014126295021760578,5,,,6,50,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 6, 'n_estimators': 50}",0.571604262416679,0.42814929699488913,0.6173783590166978,0.539043972809422,0.0806103335927213,504
0.867116371790568,0.014256911874775772,0.020930131276448567,0.004485900969772396,5,,,6,100,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 6, 'n_estimators': 100}",0.5785214026124637,0.41318341723415053,0.5983865194368755,0.5300304464278299,0.0830203866133827,621
1.7324422200520833,0.02438377342418476,0.031577746073404946,0.003171781052626992,5,,,6,200,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 6, 'n_estimators': 200}",0.5906918168334777,0.42641359621053865,0.6047239306722932,0.5406097812387699,0.08095184396066542,478
0.22194631894429526,0.015066498585234485,0.012923638025919596,0.002062312314794921,5,,,10,25,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 10, 'n_estimators': 25}",0.6173954264837631,0.42353380341731106,0.5785215764540067,0.5398169354516936,0.08374214053003515,490
0.3975772062937419,0.038164362357294965,0.013518095016479492,0.0016377974053456749,5,,,10,50,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 10, 'n_estimators': 50}",0.5834061302910677,0.40028478295397163,0.6042192883889981,0.5293034005446792,0.09162477703934774,632
0.7173967361450195,0.017099743180090617,0.017580111821492512,0.001818261434576677,5,,,10,100,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 10, 'n_estimators': 100}",0.58325929290337,0.4158676073544654,0.6139085698305358,0.537678490029457,0.08703739770001155,528
1.748804251352946,0.08491932738129329,0.03499913215637207,0.009415749636365918,5,,,10,200,"{'max_depth': 5, 'max_features': None, 'max_samples': None, 'min_samples_split': 10, 'n_estimators': 200}",0.5759372122740436,0.40106224888382314,0.5924299624979943,0.5231431412186204,0.08658641505237283,685
0.07488481203715007,0.005263450000513601,0.010047038396199545,0.0034445440711106698,5,sqrt,0.25,2,25,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 2, 'n_estimators': 25}",0.5854995956108155,0.48007683309997806,0.5695013022226686,0.545025910311154,0.046388025184457414,425
0.16741720835367838,0.005287932071738916,0.014784733454386393,0.0018222953884571066,5,sqrt,0.25,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 2, 'n_estimators': 50}",0.5898638657890911,0.4621102402030004,0.5708753186309825,0.5409498082076913,0.056284393000597975,474
0.3521889845530192,0.021673425183628144,0.02156345049540202,0.0011223736930228909,5,sqrt,0.25,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 2, 'n_estimators': 100}",0.6111744533481582,0.48359110873377475,0.5410793427138871,0.54528163493194,0.052170374100393824,421
0.670022169748942,0.029581065615182724,0.038541316986083984,0.006038969061644875,5,sqrt,0.25,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 2, 'n_estimators': 200}",0.6013702446867857,0.5053550994946335,0.5593326071753701,0.5553526504522631,0.039298914897707364,322
0.10234443346659343,0.017585745046914344,0.011085192362467447,0.0008774500006652319,5,sqrt,0.25,4,25,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 4, 'n_estimators': 25}",0.6147356693917965,0.5194774527691511,0.576636767466173,0.5702832965423735,0.03914764278230453,149
0.18301264444986978,0.03767973309207485,0.026607592900594074,0.007901156205954643,5,sqrt,0.25,4,50,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 4, 'n_estimators': 50}",0.583732611422727,0.4719095562211503,0.5493466314260421,0.5349962663566398,0.046765718582971745,560
0.42215339342753094,0.006621666462205282,0.02989371617635091,0.0037172513249118665,5,sqrt,0.25,4,100,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 4, 'n_estimators': 100}",0.5908872880325919,0.46763089011882264,0.5628726570730069,0.5404636117414738,0.052755150719605175,480
0.8704790274302164,0.0073938526798460755,0.04779553413391113,0.009870213875595203,5,sqrt,0.25,4,200,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 4, 'n_estimators': 200}",0.6063873476035433,0.5106164402363719,0.5813704093882951,0.5661247324094033,0.04055728191411388,211
0.13256454467773438,0.015680177421771184,0.015430291493733725,0.0015991207924722533,5,sqrt,0.25,6,25,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 6, 'n_estimators': 25}",0.60659442199572,0.5349632583097348,0.5622059328419314,0.5679212043824621,0.0295212256897598,178
0.22282926241556802,0.011920125337110734,0.015638430913289387,0.0027646341187077834,5,sqrt,0.25,6,50,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 6, 'n_estimators': 50}",0.60041907898901,0.4782350833074406,0.5571897020573442,0.5452812881179316,0.05058715213762445,422
0.6113677819569906,0.004482382244237928,0.035899718602498375,0.004912748922892451,5,sqrt,0.25,6,100,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 6, 'n_estimators': 100}",0.5843294408964599,0.5161957204667853,0.5599720607898419,0.5534990740510289,0.0281895445498019,339
0.8638935089111328,0.08106023600539417,0.050892035166422524,0.0006618119080601782,5,sqrt,0.25,6,200,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 6, 'n_estimators': 200}",0.5737622108700512,0.49337773258755935,0.5520730264650081,0.5397376566408729,0.033956217876463024,493
0.09926644961039226,0.015949896447332388,0.013910531997680664,0.0016438838793692244,5,sqrt,0.25,10,25,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 10, 'n_estimators': 25}",0.5302487769968743,0.47981446109702297,0.5395139186038721,0.5165257188992564,0.026232906171651,724
0.21941796938578287,0.014320285601010872,0.023377180099487305,0.002797185141182729,5,sqrt,0.25,10,50,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 10, 'n_estimators': 50}",0.5402762737909841,0.4746485784319022,0.5610693208251372,0.5253313910160078,0.03682977346131619,662
0.4690159161885579,0.025159284067148548,0.02870972951253255,0.005205387948349945,5,sqrt,0.25,10,100,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 10, 'n_estimators': 100}",0.5843964337580958,0.48918334980311395,0.5203242448187961,0.5313013427933353,0.03963798976580909,605
1.0242544015248616,0.10652115753920725,0.043179829915364586,0.008544015393569927,5,sqrt,0.25,10,200,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.25, 'min_samples_split': 10, 'n_estimators': 200}",0.5534917596419839,0.4968617768074607,0.5395721093958583,0.5299752152817677,0.0240944533234989,622
0.1451254685719808,0.008818782272054375,0.015035470326741537,0.0014634160136421678,5,sqrt,0.5,2,25,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 25}",0.6043612723098895,0.46631040590105055,0.553559537035359,0.5414104050820997,0.05701000780255488,469
0.328754981358846,0.07647147885446018,0.0166622797648112,0.00046934118211145403,5,sqrt,0.5,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 50}",0.6113088926669851,0.5057329258004024,0.5797781011631592,0.565606639876849,0.04425075465417122,219
0.4931534131368001,0.04095595455619134,0.02660997708638509,0.00437949439925433,5,sqrt,0.5,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 100}",0.6144546972708265,0.4790952118582902,0.5862961504578916,0.5599486865290028,0.05831631683842714,284
0.9625837802886963,0.06450887883033497,0.055283149083455406,0.016939473697568316,5,sqrt,0.5,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 200}",0.6202341801981031,0.5014214317344843,0.5969104106963243,0.5728553408763039,0.05140105113973404,116
0.13856744766235352,0.013357509937859786,0.013532082239786783,0.0014531449255385243,5,sqrt,0.5,4,25,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 4, 'n_estimators': 25}",0.6034966876742677,0.495744397487635,0.6045780602794686,0.5679397151471237,0.05105170751727237,177
0.2400339444478353,0.00507476572241475,0.019554773966471355,0.003617274772355015,5,sqrt,0.5,4,50,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 4, 'n_estimators': 50}",0.6057147656439921,0.439802027283133,0.5846129682100034,0.5433765870457095,0.07374319646017034,446
0.5287138621012369,0.0030177002531202096,0.025156418482462566,0.006656527553265471,5,sqrt,0.5,4,100,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 4, 'n_estimators': 100}",0.611115845747467,0.4860837382684149,0.5636329530218073,0.5536108456792297,0.05153373621135913,338
0.664580504099528,0.06838098822226421,0.03957319259643555,0.005789522720570595,5,sqrt,0.5,4,200,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 4, 'n_estimators': 200}",0.615687481447561,0.4941363866633741,0.5995877837911374,0.5698038839673575,0.0539071898565384,155
0.06813216209411621,0.007497511819885356,0.011743466059366861,0.004187970217344067,5,sqrt,0.5,6,25,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 6, 'n_estimators': 25}",0.5786574760649702,0.4759080732377403,0.604790050595761,0.5531185332994905,0.05562864501982274,346
0.17075125376383463,0.0031396573581896564,0.016690889994303387,0.0023924736322322436,5,sqrt,0.5,6,50,"{'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 6, 'n_estimators': 50}",0.6020056637603668,0.5013519915254168,0.5890026032967419,0.5641200861941752,0.044700075888189375,239
