"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4785750";"";"";"Unknown";"";"387.49";"3";"7";"3.67";"80.65";"7";"1";"0";"6";"N";"0.52";"11.18";"4.39";"3.86";"3.86";"3";"MOL";"-1";"26";"6";"1";"0";"387.0711";"-2.01";"NEUTRAL";"C18H17N3O3S2";"COc1ccccc1/C=N/Nc1nc(-c2ccc(S(C)(=O)=O)cc2)cs1";"SXQCPVRAMAXZOY-YBFXNURJSA-N"
"CHEMBL3264691";"";"";"Small molecule";"";"338.39";"5";"10";"3.71";"65.97";"7";"0";"0";"5";"N";"0.52";"None";"None";"3.67";"3.67";"4";"MOL";"-1";"24";"6";"0";"0";"338.0837";"-2.16";"NEUTRAL";"C17H14N4O2S";"COc1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1";"COAQKUPDYYYTMU-UHFFFAOYSA-N"
"CHEMBL4763455";"";"";"Unknown";"";"407.22";"6";"15";"2.10";"107.89";"5";"4";"0";"5";"N";"0.35";"9.02";"None";"2.42";"2.41";"2";"MOL";"-1";"25";"7";"4";"0";"406.0164";"-0.72";"NEUTRAL";"C17H15BrN2O5";"O=C(/C=C/c1ccc(O)c(O)c1)NNC(=O)COc1ccc(Br)cc1";"GKXAVMITOMWEIS-KRXBUXKQSA-N"
"CHEMBL3264692";"";"";"Small molecule";"";"342.81";"4";"5";"4.35";"56.74";"6";"0";"0";"4";"N";"0.52";"None";"None";"4.44";"4.44";"4";"MOL";"-1";"23";"5";"0";"0";"342.0342";"-2.61";"NEUTRAL";"C16H11ClN4OS";"Clc1cccc(-n2cc(CSc3nc4ccccc4o3)nn2)c1";"LVWVBJQPFAYETM-UHFFFAOYSA-N"
"CHEMBL3113236";"";"";"Small molecule";"";"369.73";"5";"12";"3.88";"71.09";"4";"2";"0";"4";"N";"0.80";"6.66";"6.40";"2.83";"2.68";"2";"MOL";"-1";"23";"5";"2";"0";"368.9962";"-1.72";"NEUTRAL";"C12H8ClF4N3O2S";"O=S(=O)(Nc1ccncc1Nc1ccc(F)c(Cl)c1)C(F)(F)F";"GEPDHYISDWHCFI-UHFFFAOYSA-N"
"CHEMBL4750539";"";"";"Unknown";"";"379.37";"6";"15";"1.89";"120.78";"6";"4";"0";"5";"N";"0.31";"9.12";"2.85";"1.81";"1.80";"3";"MOL";"-1";"28";"8";"4";"0";"379.1168";"-0.83";"NEUTRAL";"C20H17N3O5";"O=C(/C=C/c1ccc(O)c(O)c1)NNC(=O)COc1cccc2cccnc12";"KKWGNMIYYGRBJT-VQHVLOKHSA-N"
"CHEMBL4790377";"";"";"Unknown";"";"403.49";"3";"12";"3.37";"100.88";"8";"2";"0";"6";"N";"0.48";"9.18";"4.17";"3.56";"3.55";"3";"MOL";"-1";"27";"7";"2";"0";"403.0660";"-1.73";"NEUTRAL";"C18H17N3O4S2";"COc1ccc(O)c(/C=N/Nc2nc(-c3ccc(S(C)(=O)=O)cc3)cs2)c1";"WIYQKOSNHXVUKK-VXLYETTFSA-N"
"CHEMBL4745350";"";"";"Unknown";"";"389.46";"3";"7";"3.07";"111.88";"8";"3";"0";"5";"N";"0.46";"8.62";"4.30";"3.41";"3.38";"3";"MOL";"-1";"26";"7";"3";"0";"389.0504";"-1.54";"NEUTRAL";"C17H15N3O4S2";"CS(=O)(=O)c1ccc(-c2csc(N/N=C/c3ccc(O)cc3O)n2)cc1";"RSPDRFFXLZHOHV-GIJQJNRQSA-N"
"CHEMBL1814712";"";"";"Small molecule";"";"344.39";"4";"4";"4.45";"54.37";"2";"1";"0";"5";"N";"0.88";"4.43";"None";"4.99";"2.13";"2";"MOL";"-1";"24";"3";"1";"0";"322.1569";"0.53";"ACID";"C21H21NaO3";"CC(C(=O)[O-])c1ccc(CC2CCCC2=O)c(-c2ccccc2)c1.[Na+]";"LJYGBCRIWRHWJR-UHFFFAOYSA-M"
"CHEMBL3113229";"";"";"Small molecule";"";"345.35";"3";"3";"3.70";"71.09";"4";"2";"0";"4";"N";"0.89";"6.66";"6.40";"3.11";"2.96";"2";"MOL";"-1";"23";"5";"2";"0";"345.0759";"-1.16";"NEUTRAL";"C14H14F3N3O2S";"Cc1cc(C)cc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1";"ZSJUWFAOKZZZMO-UHFFFAOYSA-N"
"CHEMBL109017";"";"";"Small molecule";"";"388.40";"6";"11";"2.97";"90.87";"6";"1";"0";"3";"N";"0.75";"10.66";"1.46";"2.80";"2.80";"3";"MOL";"-1";"25";"6";"2";"0";"388.0276";"-1.87";"NEUTRAL";"C14H11F3N4O2S2";"Cc1csc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1";"NCQAPPLITRJWMF-UHFFFAOYSA-N"
"CHEMBL95021";"";"";"Small molecule";"";"395.36";"4";"9";"3.10";"87.21";"5";"1";"0";"2";"N";"0.72";"10.59";"None";"3.09";"3.09";"3";"MOL";"-1";"27";"6";"2";"0";"395.0551";"-1.33";"NEUTRAL";"C17H12F3N3O3S";"NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c3c2-c2ccccc2OC3)cc1";"ARDUNDMCGGZTSG-UHFFFAOYSA-N"
"CHEMBL1275940";"BROMOLOXOPROFEN";"Bromoloxoprofen";"Small molecule";"";"347.18";"6";"11";"3.55";"54.37";"2";"1";"0";"4";"N";"0.92";"3.29";"None";"4.11";"0.69";"1";"MOL";"-1";"19";"3";"1";"0";"324.0361";"0.58";"ACID";"C15H16BrNaO3";"CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1Br.[Na+]";"YVNMRWQDSVWHMD-UHFFFAOYSA-M"
"CHEMBL1288554";"";"";"Small molecule";"";"313.06";"3";"3";"3.78";"46.53";"2";"1";"0";"1";"N";"0.86";"2.73";"None";"3.83";"0.34";"1";"MOL";"-1";"19";"3";"1";"0";"311.9568";"0.21";"ACID";"C11H5Cl2F3O3";"O=C(O)C1=Cc2cc(Cl)c(Cl)cc2OC1C(F)(F)F";"HMBUMPBGRPVQME-UHFFFAOYSA-N"
"CHEMBL1814707";"";"";"Small molecule";"";"302.73";"4";"4";"3.44";"54.37";"2";"1";"0";"4";"N";"0.92";"3.94";"None";"3.95";"0.76";"1";"MOL";"-1";"19";"3";"1";"0";"280.0866";"0.37";"ACID";"C15H16ClNaO3";"CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1Cl.[Na+]";"XJOSBPJHURVJFY-UHFFFAOYSA-M"
"CHEMBL1288591";"";"";"Small molecule";"";"313.06";"3";"3";"3.78";"46.53";"2";"1";"0";"1";"N";"0.86";"2.74";"None";"3.83";"0.34";"1";"MOL";"-1";"19";"3";"1";"0";"311.9568";"0.19";"ACID";"C11H5Cl2F3O3";"O=C(O)C1=Cc2ccc(Cl)c(Cl)c2OC1C(F)(F)F";"QTMGHZURJYOUFO-UHFFFAOYSA-N"
"CHEMBL3113235";"";"";"Small molecule";"";"410.21";"3";"3";"4.16";"71.09";"4";"2";"0";"4";"N";"0.79";"6.66";"6.40";"3.36";"3.22";"2";"MOL";"-1";"23";"5";"2";"0";"408.9707";"-1.40";"NEUTRAL";"C13H11BrF3N3O2S";"Cc1cc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)ccc1Br";"MJHUOIKFZJDXDI-UHFFFAOYSA-N"
