"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL363228";"";"";"Small molecule";"";"259.69";"8";"31";"4.56";"39.17";"3";"0";"0";"2";"N";"0.68";"None";"None";"3.60";"3.60";"3";"MOL";"-1";"18";"3";"0";"0";"259.0400";"-1.10";"NEUTRAL";"C14H10ClNO2";"Cc1onc(-c2ccc(Cl)o2)c1-c1ccccc1";"IPAVFMUBTIUYBW-UHFFFAOYSA-N"
"CHEMBL1950010";"";"";"Small molecule";"";"324.34";"3";"5";"2.74";"92.28";"4";"2";"0";"5";"N";"0.70";"3.93";"2.89";"2.21";"-0.65";"3";"MOL";"-1";"24";"6";"2";"0";"324.1110";"-0.41";"ACID";"C18H16N2O4";"COc1ccc2c(CC(=O)O)c(C(=O)c3cc(C)ccn3)[nH]c2c1";"BVLDTQOJHAZUMB-UHFFFAOYSA-N"
"CHEMBL3974473";"";"";"Small molecule";"";"342.47";"4";"8";"3.08";"50.16";"6";"1";"0";"6";"N";"0.75";"None";"5.75";"3.01";"3.00";"3";"MOL";"-1";"24";"5";"1";"0";"342.1514";"-1.46";"NEUTRAL";"C18H22N4OS";"Cc1cc(C)c2c(=O)n(CN(C)CCNc3ccccc3)sc2n1";"WPPFCDYSNOXFKO-UHFFFAOYSA-N"
"CHEMBL1814709";"";"";"Small molecule";"";"313.29";"4";"4";"2.69";"97.51";"4";"1";"0";"5";"N";"0.66";"3.45";"None";"3.29";"-0.10";"1";"MOL";"-1";"21";"6";"1";"0";"291.1107";"0.12";"ACID";"C15H16NNaO5";"CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1[N+](=O)[O-].[Na+]";"OZUFPJMEXZUUIF-UHFFFAOYSA-M"
"CHEMBL3113226";"";"";"Small molecule";"";"342.30";"3";"3";"2.96";"94.88";"5";"2";"0";"4";"N";"0.89";"6.66";"6.40";"1.93";"1.79";"2";"MOL";"-1";"23";"6";"2";"0";"342.0398";"-1.66";"NEUTRAL";"C13H9F3N4O2S";"N#Cc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1";"SYUZXCHRMKPZQM-UHFFFAOYSA-N"
"CHEMBL3915322";"";"";"Small molecule";"";"427.53";"3";"5";"3.07";"73.66";"7";"0";"0";"5";"N";"0.63";"None";"3.26";"2.41";"2.41";"3";"MOL";"-1";"30";"7";"0";"0";"427.1566";"-1.02";"NEUTRAL";"C22H25N3O4S";"COc1cc2c(cc1OC)CN(C(=O)CCn1sc3nc(C)cc(C)c3c1=O)CC2";"AKRMHZAKOUMKRI-UHFFFAOYSA-N"
"CHEMBL2419964";"";"";"Small molecule";"";"416.98";"8";"11";"3.94";"41.37";"6";"0";"0";"5";"N";"0.63";"None";"7.37";"4.02";"3.74";"3";"MOL";"-1";"28";"5";"0";"0";"416.1438";"-1.67";"NEUTRAL";"C21H25ClN4OS";"Cc1cc(C)c2c(=O)n(CCCN3CCN(c4cccc(Cl)c4)CC3)sc2n1";"YPNORIQUZGLIEK-UHFFFAOYSA-N"
"CHEMBL1814726";"";"";"Small molecule";"";"360.39";"5";"8";"4.16";"74.60";"3";"2";"0";"5";"N";"0.86";"4.19";"None";"4.69";"1.65";"2";"MOL";"-1";"25";"4";"2";"0";"338.1518";"0.74";"ACID";"C21H21NaO4";"CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1-c1ccc(O)cc1.[Na+]";"UBSSLRBAOIXMRM-UHFFFAOYSA-M"
"CHEMBL2380863";"";"";"Small molecule";"";"269.73";"3";"3";"4.97";"26.03";"2";"0";"0";"2";"N";"0.66";"None";"0.13";"4.82";"4.82";"3";"MOL";"-1";"19";"2";"0";"0";"269.0607";"-1.11";"NEUTRAL";"C16H12ClNO";"Cc1onc(-c2ccccc2Cl)c1-c1ccccc1";"YUSDGTLMDWWCOF-UHFFFAOYSA-N"
"CHEMBL328906";"";"";"Small molecule";"";"425.46";"4";"10";"4.12";"77.98";"5";"1";"0";"2";"N";"0.67";"10.61";"None";"4.29";"4.28";"3";"MOL";"-1";"28";"5";"2";"0";"425.0480";"-1.47";"NEUTRAL";"C18H14F3N3O2S2";"Cc1ccc2c(c1)CSc1c(C(F)(F)F)nn(-c3ccc(S(N)(=O)=O)cc3)c1-2";"XTDMKGFJRUDIKB-UHFFFAOYSA-N"
"CHEMBL1950009";"";"";"Small molecule";"";"312.30";"4";"6";"2.87";"83.05";"3";"2";"0";"4";"N";"0.73";"3.98";"2.91";"2.53";"-0.32";"3";"MOL";"-1";"23";"5";"2";"0";"312.0910";"-0.81";"ACID";"C17H13FN2O3";"Cc1ccnc(C(=O)c2[nH]c3cc(F)ccc3c2CC(=O)O)c1";"SZQLJRUPQGEKLC-UHFFFAOYSA-N"
"CHEMBL1814727";"";"";"Small molecule";"";"362.40";"3";"3";"3.95";"77.76";"3";"3";"0";"5";"N";"0.77";"4.25";"None";"4.30";"1.30";"2";"MOL";"-1";"25";"4";"3";"0";"340.1675";"0.93";"ACID";"C21H23NaO4";"CC(C(=O)[O-])c1ccc(C[C@H]2CCC[C@@H]2O)cc1-c1ccc(O)cc1.[Na+]";"PQJGYJWOGPPKFV-CQOCNBRSSA-M"
"CHEMBL4868438";"";"";"Unknown";"";"487.95";"4";"4";"5.56";"104.39";"10";"0";"1";"7";"N";"0.21";"None";"None";"4.08";"4.08";"5";"MOL";"-1";"32";"8";"0";"1";"487.0063";"-1.66";"NEUTRAL";"C21H14ClN3O5S2";"COc1ccc2oc(=O)cc(CSc3nnc(CSc4nc5cc(Cl)ccc5o4)o3)c2c1";"NPRMVOFUUXXJDV-UHFFFAOYSA-N"
"CHEMBL3264697";"";"";"Small molecule";"";"322.39";"4";"5";"4.01";"56.74";"6";"0";"0";"4";"N";"0.53";"None";"None";"4.35";"4.35";"4";"MOL";"-1";"23";"5";"0";"0";"322.0888";"-2.21";"NEUTRAL";"C17H14N4OS";"Cc1ccccc1-n1cc(CSc2nc3ccccc3o2)nn1";"FVRONCXVPDNNAY-UHFFFAOYSA-N"
"CHEMBL3104549";"";"";"Small molecule";"";"490.51";"13";"49";"2.32";"146.56";"8";"2";"0";"9";"N";"0.27";"None";"7.02";"1.93";"1.77";"3";"MOL";"-1";"34";"10";"3";"0";"490.1322";"-1.48";"NEUTRAL";"C22H23FN4O6S";"Cc1c(C(N)C(=O)NCCO[N+](=O)[O-])cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1";"UGEHBVDSAURCGJ-UHFFFAOYSA-N"
"CHEMBL411894";"";"";"Small molecule";"";"429.42";"3";"6";"3.95";"77.98";"5";"1";"0";"2";"N";"0.63";"10.60";"None";"3.91";"3.91";"3";"MOL";"-1";"28";"5";"2";"0";"429.0229";"-1.60";"NEUTRAL";"C17H11F4N3O2S2";"NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c3c2-c2cc(F)ccc2CS3)cc1";"WLFSEEOKFBUFLP-UHFFFAOYSA-N"
"CHEMBL3264688";"";"";"Small molecule";"";"353.36";"4";"5";"3.61";"99.88";"8";"0";"0";"5";"N";"0.31";"None";"None";"3.77";"3.77";"4";"MOL";"-1";"25";"8";"0";"0";"353.0583";"-2.48";"NEUTRAL";"C16H11N5O3S";"O=[N+]([O-])c1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1";"USWACCOSSLXYJD-UHFFFAOYSA-N"
"CHEMBL3113241";"";"";"Small molecule";"";"281.31";"3";"3";"2.34";"71.09";"4";"2";"0";"4";"N";"0.90";"9.70";"6.95";"0.71";"0.58";"2";"MOL";"-1";"19";"5";"2";"0";"281.0634";"-1.94";"NEUTRAL";"C12H12FN3O2S";"CS(=O)(=O)Nc1ccncc1Nc1cccc(F)c1";"RNWMHBCUGLUQES-UHFFFAOYSA-N"
"CHEMBL3977032";"";"";"Small molecule";"";"410.54";"3";"8";"3.37";"58.44";"6";"0";"0";"4";"N";"0.66";"None";"3.64";"3.55";"3.55";"3";"MOL";"-1";"29";"6";"0";"0";"410.1776";"-1.35";"NEUTRAL";"C22H26N4O2S";"CCC(C(=O)N1CCN(c2ccccc2)CC1)n1sc2nc(C)cc(C)c2c1=O";"YSNMKPIVLHLUPB-UHFFFAOYSA-N"
"CHEMBL1814720";"";"";"Small molecule";"";"344.39";"4";"4";"4.45";"54.37";"2";"1";"0";"5";"N";"0.88";"4.43";"None";"4.99";"2.13";"2";"MOL";"-1";"24";"3";"1";"0";"322.1569";"0.52";"ACID";"C21H21NaO3";"CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1-c1ccccc1.[Na+]";"TVVPAASVSWBDPM-UHFFFAOYSA-M"
"CHEMBL3264703";"";"";"Small molecule";"";"309.35";"4";"5";"3.10";"69.63";"7";"0";"0";"4";"N";"0.54";"None";"4.78";"2.61";"2.61";"4";"MOL";"-1";"22";"6";"0";"0";"309.0684";"-2.44";"NEUTRAL";"C15H11N5OS";"c1cncc(-n2cc(CSc3nc4ccccc4o3)nn2)c1";"WDAGSKDAQKTQGQ-UHFFFAOYSA-N"
"CHEMBL1950019";"";"";"Small molecule";"";"377.23";"3";"5";"4.29";"83.05";"3";"2";"0";"5";"N";"0.65";"3.71";"1.18";"4.42";"1.12";"3";"MOL";"-1";"25";"5";"2";"0";"376.0381";"-0.65";"ACID";"C18H14Cl2N2O3";"CCc1cc(C(=O)c2[nH]c3cc(Cl)ccc3c2CC(=O)O)ncc1Cl";"GRTNJTOOCDMMEK-UHFFFAOYSA-N"
"CHEMBL3933250";"";"";"Small molecule";"";"252.29";"3";"7";"2.16";"72.31";"5";"1";"0";"3";"N";"0.91";"3.83";"None";"2.32";"-0.93";"2";"MOL";"-1";"17";"5";"1";"0";"252.0569";"-1.24";"ACID";"C11H12N2O3S";"Cc1cc(C)c2c(OC(C)C(=O)O)nsc2n1";"XEUXPQLNLRSQHD-UHFFFAOYSA-N"
"CHEMBL2106681";"FLUPROQUAZONE";"46-790|FLUPROQUAZONE|Tormosyl";"Small molecule";"-1.0";"296.35";"2";"3";"4.09";"34.89";"3";"0";"0";"2";"N";"0.71";"None";"None";"4.21";"4.21";"3";"MOL";"0";"22";"3";"0";"0";"296.1325";"-1.40";"NEUTRAL";"C18H17FN2O";"Cc1ccc2c(-c3ccc(F)cc3)nc(=O)n(C(C)C)c2c1";"ZWOUXWWGKJBAHQ-UHFFFAOYSA-N"
"CHEMBL3325875";"";"";"Small molecule";"";"470.54";"8";"13";"2.94";"111.77";"9";"2";"0";"5";"N";"0.34";"11.24";"3.75";"3.50";"3.50";"4";"MOL";"-1";"35";"10";"2";"0";"470.2179";"-1.60";"NEUTRAL";"C25H26N8O2";"CC(=O)N1CCN(c2c(/C=N/Nc3nc4ccccc4nc3O)c(C)nn2-c2ccccc2)CC1";"GFECJSAJCVJBKE-WGOQTCKBSA-N"
"CHEMBL3974298";"";"";"Small molecule";"";"430.96";"3";"5";"3.47";"58.44";"6";"0";"0";"4";"N";"0.64";"None";"3.27";"3.30";"3.30";"3";"MOL";"-1";"29";"6";"0";"0";"430.1230";"-1.70";"NEUTRAL";"C21H23ClN4O2S";"Cc1cc(C)c2c(=O)n(CCC(=O)N3CCN(c4cccc(Cl)c4)CC3)sc2n1";"JORTVCJHAJIOJY-UHFFFAOYSA-N"
"CHEMBL2380877";"";"";"Small molecule";"";"303.70";"3";"3";"4.04";"65.47";"5";"0";"0";"3";"N";"0.68";"None";"None";"3.32";"3.32";"3";"MOL";"-1";"21";"5";"0";"0";"303.0298";"-0.80";"NEUTRAL";"C15H10ClNO4";"COC(=O)c1c(-c2ccc(Cl)o2)noc1-c1ccccc1";"FVAKMMKQVZFNNI-UHFFFAOYSA-N"
"CHEMBL4162061";"";"";"Small molecule";"";"387.89";"7";"10";"4.27";"56.14";"4";"0";"0";"3";"N";"0.67";"None";"None";"3.54";"3.54";"3";"MOL";"-1";"26";"4";"0";"0";"387.0696";"-1.34";"NEUTRAL";"C20H18ClNO3S";"CS(=O)(=O)c1ccc2c(c1)c1c(n2Cc2ccc(Cl)cc2)CCCC1=O";"QKLPHZIAWWXUES-UHFFFAOYSA-N"
"CHEMBL4172740";"";"";"Small molecule";"";"437.93";"7";"10";"3.45";"90.28";"6";"0";"0";"3";"N";"0.63";"None";"None";"2.52";"2.52";"3";"MOL";"-1";"28";"6";"0";"0";"437.0158";"-1.22";"NEUTRAL";"C19H16ClNO5S2";"CS(=O)(=O)c1ccc2c(c1)c1c(n2S(=O)(=O)c2ccc(Cl)cc2)CCCC1=O";"NYNZAMINEWHYNQ-UHFFFAOYSA-N"
"CHEMBL3113231";"";"";"Small molecule";"";"345.35";"3";"3";"3.70";"71.09";"4";"2";"0";"4";"N";"0.89";"6.66";"6.40";"3.11";"2.96";"2";"MOL";"-1";"23";"5";"2";"0";"345.0759";"-1.38";"NEUTRAL";"C14H14F3N3O2S";"Cc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1C";"WXXURXCYKRMJTM-UHFFFAOYSA-N"
"CHEMBL3113227";"";"";"Small molecule";"";"393.49";"3";"3";"2.62";"96.44";"6";"1";"0";"7";"N";"0.78";"None";"4.62";"1.59";"1.59";"2";"MOL";"-1";"26";"7";"1";"0";"393.0817";"-0.89";"NEUTRAL";"C17H19N3O4S2";"O=S(=O)(C1CC1)N(c1ccncc1Nc1ccccc1)S(=O)(=O)C1CC1";"YPUKGRYHGPSOGX-UHFFFAOYSA-N"
"CHEMBL3264695";"";"";"Small molecule";"";"387.26";"5";"10";"4.46";"56.74";"6";"0";"0";"4";"N";"0.48";"None";"None";"4.60";"4.60";"4";"MOL";"-1";"23";"5";"0";"0";"385.9837";"-2.37";"NEUTRAL";"C16H11BrN4OS";"Brc1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1";"OTDKTRHTEFHXBU-UHFFFAOYSA-N"
"CHEMBL3113228";"";"";"Small molecule";"";"289.36";"3";"3";"2.73";"71.09";"4";"2";"0";"5";"N";"0.89";"9.83";"6.94";"1.34";"1.21";"2";"MOL";"-1";"20";"5";"2";"0";"289.0885";"-1.38";"NEUTRAL";"C14H15N3O2S";"O=S(=O)(Nc1ccncc1Nc1ccccc1)C1CC1";"OUBIEBXGDGVTFB-UHFFFAOYSA-N"
"CHEMBL3264704";"";"";"Small molecule";"";"343.80";"4";"5";"3.75";"69.63";"7";"0";"0";"4";"N";"0.41";"None";"1.04";"3.44";"3.44";"4";"MOL";"-1";"23";"6";"0";"0";"343.0295";"-2.31";"NEUTRAL";"C15H10ClN5OS";"Clc1ncccc1-n1cc(CSc2nc3ccccc3o2)nn1";"USXAHLXYBCGWOC-UHFFFAOYSA-N"
"CHEMBL3264699";"";"";"Small molecule";"";"326.36";"4";"5";"3.84";"56.74";"6";"0";"0";"4";"N";"0.53";"None";"None";"3.97";"3.97";"4";"MOL";"-1";"23";"5";"0";"0";"326.0638";"-2.46";"NEUTRAL";"C16H11FN4OS";"Fc1ccccc1-n1cc(CSc2nc3ccccc3o2)nn1";"YOUTVOXKKLOMJX-UHFFFAOYSA-N"
"CHEMBL1814708";"";"";"Small molecule";"";"394.18";"4";"4";"3.39";"54.37";"2";"1";"0";"4";"N";"0.82";"3.26";"None";"4.27";"0.84";"1";"MOL";"-1";"19";"3";"1";"0";"372.0222";"0.60";"ACID";"C15H16INaO3";"CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1I.[Na+]";"SHPNFEUBHRALIV-UHFFFAOYSA-M"
"CHEMBL328009";"";"";"Small molecule";"";"459.45";"4";"8";"3.96";"87.21";"6";"1";"0";"3";"N";"0.60";"10.61";"None";"3.76";"3.76";"3";"MOL";"-1";"30";"6";"2";"0";"459.0334";"-1.45";"NEUTRAL";"C18H13F4N3O3S2";"COc1cc2c(cc1F)-c1c(c(C(F)(F)F)nn1-c1ccc(S(N)(=O)=O)cc1)SC2";"MGTLMNAGSMWLBU-UHFFFAOYSA-N"
"CHEMBL4161755";"";"";"Small molecule";"";"381.86";"7";"11";"5.15";"48.30";"4";"0";"1";"2";"N";"0.62";"None";"None";"4.35";"4.35";"3";"MOL";"-1";"27";"4";"0";"1";"381.1132";"-0.60";"NEUTRAL";"C22H20ClNO3";"COc1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CC(C)(C)CC1=O";"CKMGIAVCGSOXAT-UHFFFAOYSA-N"
"CHEMBL3906347";"";"";"Small molecule";"";"416.93";"3";"5";"3.08";"58.44";"6";"0";"0";"3";"N";"0.66";"None";"3.25";"3.06";"3.06";"3";"MOL";"-1";"28";"6";"0";"0";"416.1074";"-1.74";"NEUTRAL";"C20H21ClN4O2S";"Cc1cc(C)c2c(=O)n(CC(=O)N3CCN(c4cccc(Cl)c4)CC3)sc2n1";"HSWXAELHSCLZBD-UHFFFAOYSA-N"
"CHEMBL3325870";"";"";"Small molecule";"";"378.82";"8";"13";"3.52";"87.96";"6";"2";"0";"4";"N";"0.42";"10.88";"1.95";"3.12";"3.12";"4";"MOL";"-1";"27";"7";"2";"0";"378.0996";"-1.92";"NEUTRAL";"C19H15ClN6O";"Cc1nn(-c2ccccc2)c(Cl)c1/C=N/Nc1nc2ccccc2[nH]c1=O";"TYZNQCNJYPBIKM-SRZZPIQSSA-N"
"CHEMBL3113239";"";"";"Small molecule";"";"335.28";"3";"3";"3.23";"71.09";"4";"2";"0";"4";"N";"0.84";"6.66";"6.40";"2.22";"2.08";"2";"MOL";"-1";"22";"5";"2";"0";"335.0352";"-1.51";"NEUTRAL";"C12H9F4N3O2S";"O=S(=O)(Nc1ccncc1Nc1cccc(F)c1)C(F)(F)F";"RXKPYCRZRFXIIR-UHFFFAOYSA-N"
"CHEMBL3325733";"";"";"Small molecule";"";"387.45";"8";"13";"3.34";"91.46";"8";"2";"0";"5";"N";"0.40";"11.24";"3.76";"4.43";"4.43";"4";"MOL";"-1";"29";"8";"2";"0";"387.1808";"-1.51";"NEUTRAL";"C21H21N7O";"Cc1nn(-c2ccccc2)c(N(C)C)c1/C=N/Nc1nc2ccccc2nc1O";"WWNUJJQXWCKCJX-LPYMAVHISA-N"
"CHEMBL686";"MEFENAMIC ACID";"CI-473|CN-35355|CONTRAFLAM|DYSMAN-250|DYSMAN-500|GARDAN|INF-3355|J2.344B|M01AG01|MEFENAMATE|MEFENAMIC ACID|MEFENAMINIC ACID|MEFLAM 250|MEFLAM 500|MENDYS|MEPHENAMIC ACID|MEPHENAMINIC ACID|NSC-94437|OPUSTAN 250|OPUSTAN 500|PONSTAN|PONSTAN FTE|Ponstel";"Small molecule";"4.0";"241.29";"187";"2231";"3.75";"49.33";"2";"2";"0";"3";"N";"0.86";"3.89";"None";"5.40";"2.18";"2";"MOL";"0";"18";"3";"2";"0";"241.1103";"-0.81";"ACID";"C15H15NO2";"Cc1cccc(Nc2ccccc2C(=O)O)c1C";"HYYBABOKPJLUIN-UHFFFAOYSA-N"
"CHEMBL3924311";"";"";"Small molecule";"";"266.32";"3";"7";"2.55";"72.31";"5";"1";"0";"5";"N";"0.84";"4.23";"None";"2.27";"-0.74";"2";"MOL";"-1";"18";"5";"1";"0";"266.0725";"-1.17";"ACID";"C12H14N2O3S";"Cc1cc(C)c2c(OCCCC(=O)O)nsc2n1";"QYJZDNXVNXGUFK-UHFFFAOYSA-N"
"CHEMBL3113224";"";"";"Small molecule";"";"443.19";"3";"3";"3.69";"71.09";"4";"2";"0";"4";"N";"0.71";"6.66";"6.40";"3.01";"2.86";"2";"MOL";"-1";"22";"5";"2";"0";"442.9412";"-1.55";"NEUTRAL";"C12H9F3IN3O2S";"O=S(=O)(Nc1ccncc1Nc1cccc(I)c1)C(F)(F)F";"RHTSKOPBSZUGID-UHFFFAOYSA-N"
"CHEMBL1814723";"";"";"Small molecule";"";"390.48";"4";"4";"5.18";"54.37";"3";"1";"1";"6";"N";"0.71";"4.18";"None";"5.62";"2.57";"2";"MOL";"-1";"26";"3";"1";"1";"368.1446";"0.20";"ACID";"C22H23NaO3S";"CSc1ccc(-c2cc(CC3CCCC3=O)ccc2C(C)C(=O)[O-])cc1.[Na+]";"HOCZATUSNAWMHR-UHFFFAOYSA-M"
"CHEMBL4169347";"";"";"Small molecule";"";"401.87";"7";"16";"3.91";"73.21";"5";"0";"0";"2";"N";"0.65";"None";"None";"2.76";"2.76";"3";"MOL";"-1";"27";"5";"0";"0";"401.0489";"-1.22";"NEUTRAL";"C20H16ClNO4S";"CS(=O)(=O)c1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCCC1=O";"MITGKKFYIJJQGL-UHFFFAOYSA-N"
"CHEMBL1814722";"";"";"Small molecule";"";"374.41";"4";"4";"4.46";"63.60";"3";"1";"0";"6";"N";"0.83";"4.10";"None";"4.84";"1.74";"2";"MOL";"-1";"26";"4";"1";"0";"352.1675";"0.49";"ACID";"C22H23NaO4";"COc1ccc(-c2cc(CC3CCCC3=O)ccc2C(C)C(=O)[O-])cc1.[Na+]";"RLFHLBYJXUUDSI-UHFFFAOYSA-M"
"CHEMBL3264693";"";"";"Small molecule";"";"342.81";"5";"12";"4.35";"56.74";"6";"0";"0";"4";"N";"0.52";"None";"None";"4.44";"4.44";"4";"MOL";"-1";"23";"5";"0";"0";"342.0342";"-2.49";"NEUTRAL";"C16H11ClN4OS";"Clc1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1";"ZMUUYQXIXHEHKH-UHFFFAOYSA-N"
"CHEMBL3948850";"";"";"Small molecule";"";"410.54";"3";"5";"3.20";"58.44";"6";"0";"0";"5";"N";"0.65";"None";"3.65";"2.99";"2.99";"3";"MOL";"-1";"29";"6";"0";"0";"410.1776";"-1.44";"NEUTRAL";"C22H26N4O2S";"Cc1cc(C)c2c(=O)n(CCCC(=O)N3CCN(c4ccccc4)CC3)sc2n1";"BMOLNZNLOFOCHQ-UHFFFAOYSA-N"
"CHEMBL1814710";"";"";"Small molecule";"";"347.18";"4";"4";"3.55";"54.37";"2";"1";"0";"4";"N";"0.92";"3.33";"None";"4.11";"0.69";"1";"MOL";"-1";"19";"3";"1";"0";"324.0361";"0.52";"ACID";"C15H16BrNaO3";"CC(C(=O)[O-])c1ccc(CC2CCCC2=O)c(Br)c1.[Na+]";"UVMLQBCGOWFVRL-UHFFFAOYSA-M"
"CHEMBL3113240";"";"";"Small molecule";"";"335.28";"3";"3";"3.23";"71.09";"4";"2";"0";"4";"N";"0.84";"6.66";"6.40";"2.22";"2.08";"2";"MOL";"-1";"22";"5";"2";"0";"335.0352";"-1.39";"NEUTRAL";"C12H9F4N3O2S";"O=S(=O)(Nc1ccncc1Nc1ccc(F)cc1)C(F)(F)F";"IJPRCYUBHPNMEA-UHFFFAOYSA-N"
"CHEMBL4173526";"";"";"Small molecule";"";"373.91";"7";"10";"4.63";"39.07";"3";"0";"0";"3";"N";"0.67";"None";"None";"4.68";"4.68";"3";"MOL";"-1";"25";"3";"0";"0";"373.0903";"-1.48";"NEUTRAL";"C20H20ClNO2S";"CS(=O)(=O)c1ccc2c(c1)c1c(n2Cc2ccc(Cl)cc2)CCCC1";"KWEQQTKSVSFAKU-UHFFFAOYSA-N"
"CHEMBL3113242";"";"";"Small molecule";"";"281.31";"3";"3";"2.34";"71.09";"4";"2";"0";"4";"N";"0.90";"9.70";"6.95";"0.71";"0.58";"2";"MOL";"-1";"19";"5";"2";"0";"281.0634";"-1.81";"NEUTRAL";"C12H12FN3O2S";"CS(=O)(=O)Nc1ccncc1Nc1ccc(F)cc1";"HJYGGOKJDNHJDO-UHFFFAOYSA-N"
"CHEMBL268501";"PROQUAZONE";"43-715|Arthrex|PROQUAZONE";"Small molecule";"-1.0";"278.36";"10";"42";"3.95";"34.89";"3";"0";"0";"2";"N";"0.71";"None";"None";"4.07";"4.07";"3";"MOL";"0";"21";"3";"0";"0";"278.1419";"-1.12";"NEUTRAL";"C18H18N2O";"Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1";"JTIGKVIOEQASGT-UHFFFAOYSA-N"
"CHEMBL3264694";"";"";"Small molecule";"";"342.81";"4";"5";"4.35";"56.74";"6";"0";"0";"4";"N";"0.52";"None";"None";"4.44";"4.44";"4";"MOL";"-1";"23";"5";"0";"0";"342.0342";"-2.36";"NEUTRAL";"C16H11ClN4OS";"Clc1ccccc1-n1cc(CSc2nc3ccccc3o2)nn1";"QPSHXEURPXZWCM-UHFFFAOYSA-N"
"CHEMBL3903347";"";"";"Small molecule";"";"396.52";"3";"7";"2.81";"58.44";"6";"0";"0";"4";"N";"0.68";"None";"3.65";"2.70";"2.70";"3";"MOL";"-1";"28";"6";"0";"0";"396.1620";"-1.49";"NEUTRAL";"C21H24N4O2S";"Cc1cc(C)c2c(=O)n(CCC(=O)N3CCN(c4ccccc4)CC3)sc2n1";"OESOLZUEADXPII-UHFFFAOYSA-N"
"CHEMBL3905241";"";"";"Small molecule";"";"266.32";"3";"8";"1.94";"72.19";"5";"1";"0";"4";"N";"0.92";"3.73";"3.08";"0.71";"-1.75";"2";"MOL";"-1";"18";"5";"1";"0";"266.0725";"-0.79";"ACID";"C12H14N2O3S";"Cc1cc(C)c2c(=O)n(CCCC(=O)O)sc2n1";"UGWVBPBRSIYOSY-UHFFFAOYSA-N"
"CHEMBL56367";"NIMESULIDE";"AULIN|NIMESULIDE|NSC-758412|R 805|R-805";"Small molecule";"4.0";"308.31";"187";"2569";"2.76";"98.54";"5";"1";"0";"5";"N";"0.68";"6.70";"None";"1.79";"1.20";"2";"MOL";"0";"21";"7";"1";"0";"308.0467";"-1.54";"NEUTRAL";"C13H12N2O5S";"CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1";"HYWYRSMBCFDLJT-UHFFFAOYSA-N"
"CHEMBL3965233";"";"";"Small molecule";"";"360.53";"4";"8";"2.98";"41.37";"6";"0";"0";"3";"N";"0.84";"None";"8.38";"3.38";"2.35";"2";"MOL";"-1";"25";"5";"0";"0";"360.1984";"-1.20";"NEUTRAL";"C19H28N4OS";"Cc1cc(C)c2c(=O)n(CN3CCN(C4CCCCC4)CC3)sc2n1";"SLWAJFQOOHDLMT-UHFFFAOYSA-N"
"CHEMBL865";"VALDECOXIB";"Bextra|NSC-759846|SC-65872|VALDECOXIB|VALDYN";"Small molecule";"4.0";"314.37";"175";"849";"2.96";"86.19";"4";"1";"0";"3";"N";"0.80";"10.06";"0.42";"2.82";"2.82";"3";"MOL";"0";"22";"5";"2";"0";"314.0725";"-1.33";"NEUTRAL";"C16H14N2O3S";"Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1";"LNPDTQAFDNKSHK-UHFFFAOYSA-N"
"CHEMBL4165597";"";"";"Small molecule";"";"387.89";"7";"10";"4.27";"56.14";"4";"0";"0";"2";"N";"0.66";"None";"None";"3.91";"3.91";"3";"MOL";"-1";"26";"4";"0";"0";"387.0696";"-1.34";"NEUTRAL";"C20H18ClNO3S";"CS(=O)(=O)c1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCCC1";"BLHFRERRAVRFPX-UHFFFAOYSA-N"
